"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Registration Test- Dataset 4","chromium","Thu Nov 20 04:42:03 UTC 2025","skipped","Thu Nov 20 04:42:03 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","0","Registration Test- Dataset 5","webkit","Thu Nov 20 04:42:16 UTC 2025","skipped","Thu Nov 20 04:42:16 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","0","Registration Test- Dataset 4","firefox","Thu Nov 20 04:42:09 UTC 2025","skipped","Thu Nov 20 04:42:09 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","1","Registration Test- Dataset 2","webkit","Thu Nov 20 04:42:16 UTC 2025","skipped","Thu Nov 20 04:42:16 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","1","Registration Test- Dataset 3","webkit","Thu Nov 20 04:42:16 UTC 2025","skipped","Thu Nov 20 04:42:16 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","0","Registration Test- Dataset 5","chromium","Thu Nov 20 04:42:03 UTC 2025","skipped","Thu Nov 20 04:42:03 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","0","Registration Test- Dataset 2","chromium","Thu Nov 20 04:42:03 UTC 2025","skipped","Thu Nov 20 04:42:03 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","1","Registration Test- Dataset 3","chromium","Thu Nov 20 04:42:03 UTC 2025","skipped","Thu Nov 20 04:42:03 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","5041","Product selection from home Page","chromium","Thu Nov 20 04:42:03 UTC 2025","passed","Thu Nov 20 04:42:08 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","0","Login test","chromium","Thu Nov 20 04:42:03 UTC 2025","skipped","Thu Nov 20 04:42:03 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","0","Login test","webkit","Thu Nov 20 04:42:16 UTC 2025","skipped","Thu Nov 20 04:42:16 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","5630","Product selection from home Page","firefox","Thu Nov 20 04:42:09 UTC 2025","passed","Thu Nov 20 04:42:14 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","0","Registration Test- Dataset 5","firefox","Thu Nov 20 04:42:09 UTC 2025","skipped","Thu Nov 20 04:42:09 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","1","Registration Test- Dataset 3","firefox","Thu Nov 20 04:42:09 UTC 2025","skipped","Thu Nov 20 04:42:09 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","0","Registration Test- Dataset 4","webkit","Thu Nov 20 04:42:16 UTC 2025","skipped","Thu Nov 20 04:42:16 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","0","Registration Test- Dataset 1","firefox","Thu Nov 20 04:42:09 UTC 2025","skipped","Thu Nov 20 04:42:09 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","0","Login test","firefox","Thu Nov 20 04:42:09 UTC 2025","skipped","Thu Nov 20 04:42:09 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","1","Registration Test- Dataset 2","firefox","Thu Nov 20 04:42:09 UTC 2025","skipped","Thu Nov 20 04:42:09 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","1","Registration Test- Dataset 1","webkit","Thu Nov 20 04:42:16 UTC 2025","skipped","Thu Nov 20 04:42:16 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","12463","Product selection from home Page","webkit","Thu Nov 20 04:42:16 UTC 2025","passed","Thu Nov 20 04:42:28 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
"","2","Registration Test- Dataset 1","chromium","Thu Nov 20 04:42:03 UTC 2025","skipped","Thu Nov 20 04:42:03 UTC 2025","Wearable Test Suite","wearableTest.spec.js","",""
